プロジェクト番号,タスク番号,問題文,問題文
8,3,シート［試験結果］のセル【I4】に、関数を使って「出席者」を算出します。出席者は「合計点」の個数で求めます。,シート［試験結果］のセル【I4】に、関数を使って「出席者」を算出します。出席者は「合計点」の個数で求めます。
8,4,シート［試験結果］のセル【J4】に、関数を使って「欠席者」を算出してください。欠席者は「合計点」が入力されていないセルの個数で求めます。,シート［試験結果］のセル【J4】に、関数を使って「欠席者」を算出してください。欠席者は「合計点」が入力されていないセルの個数で求めます。
8,5,シート［試験結果］の「グループ」の列に、関数を使って1から8までのランダムな番号を表示します。,シート［試験結果］の「グループ」の列に、関数を使って1から8までのランダムな番号を表示します。
8,6,シート［試験結果］の「学部学科略称」の列に、関数を使って「学籍番号」の左端から2文字を表示します。,シート［試験結果］の「学部学科略称」の列に、関数を使って「学籍番号」の左端から2文字を表示します。
8,7,シート［申込一覧］の「学部一覧」の列に、関数を使って「学部」を重複しないように表示します。,シート［申込一覧］の「学部一覧」の列に、関数を使って「学部」を重複しないように表示します。
9,1,"あなたはイベント参加学生のデータを集計しています。
シート［学生名簿］のセル範囲【C5:C24】に、「""氏名""」の名前を定義します。","あなたはイベント参加学生のデータを集計しています。
シート［学生名簿］のセル範囲【C5:C24】に、「""氏名""」の名前を定義します。"
9,2,"名前「開催日」の名前付き範囲に移動し、日付を「""5/10""」に変更します。","名前「開催日」の名前付き範囲に移動し、日付を「""5/10""」に変更します。"
9,3,シート［売上報告］のセル【J5】に、関数を使用して全クラブ・サークルの売上総合計を求めます。ただし、セル参照や数値は使用せず、名前付き範囲「売上合計」を使用します。名前付き範囲を使用します。,シート［売上報告］のセル【J5】に、関数を使用して全クラブ・サークルの売上総合計を求めます。ただし、セル参照や数値は使用せず、名前付き範囲「売上合計」を使用します。名前付き範囲を使用します。
9,4,シート［学生名簿］の「学部学科」の列に関数を使って「学部」と「学科」の文字列を結合して表示します。,シート［学生名簿］の「学部学科」の列に関数を使って「学部」と「学科」の文字列を結合して表示します。
9,5,"シート［担当者リスト］の「メールアドレス」の列に、関数を使って「アカウント」と文字列「""@rabbit.ac.jp""」をつなげて表示します。","シート［担当者リスト］の「メールアドレス」の列に、関数を使って「アカウント」と文字列「""@rabbit.ac.jp""」をつなげて表示します。"
9,6,シート［申込一覧］の「所属」の列に、関数を使って「キャンパス-学部」と表示します。　　例）八王子 - 経済学部,シート［申込一覧］の「所属」の列に、関数を使って「キャンパス-学部」と表示します。　　例）八王子 - 経済学部
10,1,"あなたは社員情報の管理を担当しています。
シート［担当者リスト］の「昇給」の列に、関数を使って勤続年数が5より大きければ「""あり""」、そうでなければ「""なし""」と表示します。","あなたは社員情報の管理を担当しています。
シート［担当者リスト］の「昇給」の列に、関数を使って勤続年数が5より大きければ「""あり""」、そうでなければ「""なし""」と表示します。"
10,2,"シート［出張精算］の「手当金額」の列に、関数を使って「距離」が300㎞以上であれば「""10000""」、そうでなければ「""5000""」と表示します。","シート［出張精算］の「手当金額」の列に、関数を使って「距離」が300㎞以上であれば「""10000""」、そうでなければ「""5000""」と表示します。"
10,3,"シート［売上一覧］の「補充の有無」の列に、関数を使って「在庫」が13%以下であれば「""在庫を補充""」と表示、そうでなければ何も表示しないようにします。","シート［売上一覧］の「補充の有無」の列に、関数を使って「在庫」が13%以下であれば「""在庫を補充""」と表示、そうでなければ何も表示しないようにします。"
10,4,シート［担当者リスト］の「No」の列に、関数を使って1から順に22行分入力します。,シート［担当者リスト］の「No」の列に、関数を使って1から順に22行分入力します。
10,5,シート［業務予定］の「開始時間」の列の数式を変更して、10時から30分おきになるようにします。,シート［業務予定］の「開始時間」の列の数式を変更して、10時から30分おきになるようにします。
10,6,シート［売上集計］のセル【D6】を開始位置として、関数を使って表を「売上合計」の高い順に並べ替えて表示します。,シート［売上集計］のセル【D6】を開始位置として、関数を使って表を「売上合計」の高い順に並べ替えて表示します。
10,7,シート［売上一覧］の「税込価格」の列に、「税込価格」を算出してください。税込価格は「単価」と「税率」の乗算で求めます。税率はセル【K4】を参照します。,シート［売上一覧］の「税込価格」の列に、「税込価格」を算出してください。税込価格は「単価」と「税率」の乗算で求めます。税率はセル【K4】を参照します。
10,8,シート［在庫管理］のセル【B4】を基準に、テキストファイル「在庫管理表.txt」をインポートします。Noや店舗名、担当者名などが1行目のヘッダーになるようにします。,シート［在庫管理］のセル【B4】を基準に、テキストファイル「在庫管理表.txt」をインポートします。Noや店舗名、担当者名などが1行目のヘッダーになるようにします。
