internal_name,name_local,gallery_name_raw,gallery_name_mos,screenshot_path
TableStyleLight12,テーブル スタイル (淡色) 12,"ゴールド, テーブル スタイル (淡色) 12",ゴールド、テーブルスタイル（淡色）12,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight12.png
TableStyleLight13,テーブル スタイル (淡色) 13,"青, テーブル スタイル (淡色) 13",青、テーブルスタイル（淡色）13,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight13.png
TableStyleLight14,テーブル スタイル (淡色) 14,"緑, テーブル スタイル (淡色) 14",緑、テーブルスタイル（淡色）14,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight14.png
TableStyleLight15,テーブル スタイル (淡色) 15,"白, テーブル スタイル (淡色) 15",白、テーブルスタイル（淡色）15,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight15.png
TableStyleLight16,テーブル スタイル (淡色) 16,"薄い青, テーブル スタイル (淡色) 16",薄い青、テーブルスタイル（淡色）16,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight16.png
TableStyleLight17,テーブル スタイル (淡色) 17,"薄いオレンジ, テーブル スタイル (淡色) 17",薄いオレンジ、テーブルスタイル（淡色）17,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight17.png
TableStyleLight18,テーブル スタイル (淡色) 18,"白, テーブル スタイル (淡色) 18",白、テーブルスタイル（淡色）18,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight18.png
TableStyleLight19,テーブル スタイル (淡色) 19,"薄い黄, テーブル スタイル (淡色) 19",薄い黄、テーブルスタイル（淡色）19,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight19.png
TableStyleLight20,テーブル スタイル (淡色) 20,"薄い青, テーブル スタイル (淡色) 20",薄い青、テーブルスタイル（淡色）20,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight20.png
TableStyleLight21,テーブル スタイル (淡色) 21,"薄い緑, テーブル スタイル (淡色) 21",薄い緑、テーブルスタイル（淡色）21,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight21.png
TableStyleMedium1,テーブル スタイル (中間) 1,"白, テーブル スタイル (中間) 1",白、テーブルスタイル（中間）1,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium1.png
TableStyleMedium2,テーブル スタイル (中間) 2,"青, テーブル スタイル (中間) 2",青、テーブルスタイル（中間）2,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium2.png
TableStyleMedium3,テーブル スタイル (中間) 3,"オレンジ, テーブル スタイル (中間) 3",オレンジ、テーブルスタイル（中間）3,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium3.png
TableStyleMedium4,テーブル スタイル (中間) 4,"白, テーブル スタイル (中間) 4",白、テーブルスタイル（中間）4,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium4.png
TableStyleMedium5,テーブル スタイル (中間) 5,"ゴールド, テーブル スタイル (中間) 5",ゴールド、テーブルスタイル（中間）5,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium5.png
TableStyleMedium6,テーブル スタイル (中間) 6,"青, テーブル スタイル (中間) 6",青、テーブルスタイル（中間）6,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium6.png
TableStyleMedium7,テーブル スタイル (中間) 7,"緑, テーブル スタイル (中間) 7",緑、テーブルスタイル（中間）7,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium7.png
TableStyleMedium8,テーブル スタイル (中間) 8,"薄い灰色, テーブル スタイル (中間) 8",薄い灰色、テーブルスタイル（中間）8,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium8.png
TableStyleMedium9,テーブル スタイル (中間) 9,"青, テーブル スタイル (中間) 9",青、テーブルスタイル（中間）9,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium9.png
TableStyleMedium10,テーブル スタイル (中間) 10,"オレンジ, テーブル スタイル (中間) 10",オレンジ、テーブルスタイル（中間）10,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium10.png
TableStyleMedium11,テーブル スタイル (中間) 11,"薄い灰色, テーブル スタイル (中間) 11",薄い灰色、テーブルスタイル（中間）11,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium11.png
TableStyleMedium12,テーブル スタイル (中間) 12,"ゴールド, テーブル スタイル (中間) 12",ゴールド、テーブルスタイル（中間）12,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium12.png
TableStyleMedium13,テーブル スタイル (中間) 13,"青, テーブル スタイル (中間) 13",青、テーブルスタイル（中間）13,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium13.png
TableStyleMedium14,テーブル スタイル (中間) 14,"緑, テーブル スタイル (中間) 14",緑、テーブルスタイル（中間）14,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium14.png
TableStyleMedium15,テーブル スタイル (中間) 15,"白, テーブル スタイル (中間) 15",白、テーブルスタイル（中間）15,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium15.png
TableStyleMedium16,テーブル スタイル (中間) 16,"青, テーブル スタイル (中間) 16",青、テーブルスタイル（中間）16,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium16.png
TableStyleMedium17,テーブル スタイル (中間) 17,"オレンジ, テーブル スタイル (中間) 17",オレンジ、テーブルスタイル（中間）17,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium17.png
TableStyleMedium18,テーブル スタイル (中間) 18,"白, テーブル スタイル (中間) 18",白、テーブルスタイル（中間）18,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium18.png
TableStyleMedium19,テーブル スタイル (中間) 19,"ゴールド, テーブル スタイル (中間) 19",ゴールド、テーブルスタイル（中間）19,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium19.png
TableStyleMedium20,テーブル スタイル (中間) 20,"青, テーブル スタイル (中間) 20",青、テーブルスタイル（中間）20,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium20.png
TableStyleMedium21,テーブル スタイル (中間) 21,"緑, テーブル スタイル (中間) 21",緑、テーブルスタイル（中間）21,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium21.png
TableStyleMedium22,テーブル スタイル (中間) 22,"薄い灰色, テーブル スタイル (中間) 22",薄い灰色、テーブルスタイル（中間）22,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium22.png
TableStyleMedium23,テーブル スタイル (中間) 23,"薄い青, テーブル スタイル (中間) 23",薄い青、テーブルスタイル（中間）23,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium23.png
TableStyleMedium24,テーブル スタイル (中間) 24,"薄いオレンジ, テーブル スタイル (中間) 24",薄いオレンジ、テーブルスタイル（中間）24,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium24.png
TableStyleMedium25,テーブル スタイル (中間) 25,"薄い灰色, テーブル スタイル (中間) 25",薄い灰色、テーブルスタイル（中間）25,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium25.png
TableStyleMedium26,テーブル スタイル (中間) 26,"薄い黄, テーブル スタイル (中間) 26",薄い黄、テーブルスタイル（中間）26,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium26.png
TableStyleMedium27,テーブル スタイル (中間) 27,"薄い青, テーブル スタイル (中間) 27",薄い青、テーブルスタイル（中間）27,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium27.png
TableStyleMedium28,テーブル スタイル (中間) 28,"薄い緑, テーブル スタイル (中間) 28",薄い緑、テーブルスタイル（中間）28,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleMedium28.png
TableStyleDark1,テーブル スタイル (濃色) 1,"濃い灰色, テーブル スタイル (濃色) 1",濃い灰色、テーブルスタイル（濃色）1,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark1.png
TableStyleDark2,テーブル スタイル (濃色) 2,"濃い青, テーブル スタイル (濃色) 2",濃い青、テーブルスタイル（濃色）2,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark2.png
TableStyleDark3,テーブル スタイル (濃色) 3,"茶, テーブル スタイル (濃色) 3",茶、テーブルスタイル（濃色）3,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark3.png
TableStyleDark4,テーブル スタイル (濃色) 4,"灰色, テーブル スタイル (濃色) 4",灰色、テーブルスタイル（濃色）4,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark4.png
TableStyleDark5,テーブル スタイル (濃色) 5,"濃い黄, テーブル スタイル (濃色) 5",濃い黄、テーブルスタイル（濃色）5,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark5.png
TableStyleDark6,テーブル スタイル (濃色) 6,"青, テーブル スタイル (濃色) 6",青、テーブルスタイル（濃色）6,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark6.png
TableStyleDark7,テーブル スタイル (濃色) 7,"濃い緑, テーブル スタイル (濃色) 7",濃い緑、テーブルスタイル（濃色）7,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark7.png
TableStyleDark8,テーブル スタイル (濃色) 8,"薄い灰色, テーブル スタイル (濃色) 8",薄い灰色、テーブルスタイル（濃色）8,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark8.png
TableStyleDark9,テーブル スタイル (濃色) 9,"オレンジ, テーブル スタイル (濃色) 9",オレンジ、テーブルスタイル（濃色）9,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark9.png
TableStyleDark10,テーブル スタイル (濃色) 10,"ゴールド, テーブル スタイル (濃色) 10",ゴールド、テーブルスタイル（濃色）10,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark10.png
TableStyleDark11,テーブル スタイル (濃色) 11,"緑, テーブル スタイル (濃色) 11",緑、テーブルスタイル（濃色）11,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleDark11.png
