No,科目,種類,プロジェクト,タスク,問題文,解答操作,
17,Excel365,模擬試験2,4,2,「商品売上」シートの有楽町店をもとに3-D円グラフを作成してくださいグラフは表の右側に移動します（右側であればどこでも構いません） ,商品売上シートを選択↓セルB8:B14を選択↓Ctrlキーを押しながら、F8:F14を選択↓挿入タブをクリック↓円グラフの挿入をクリック↓「3-D円」を選択↓グラフを右側に移動,
18,Excel365,模擬試験2,4,3,作成した3-D円グラフの色を「カラフルなパレット2」に変更してください,商品売上シートを選択↓円グラフを選択↓グラフのデザインタブをクリック↓色の変更をクリック↓カラフルなパレット2を選択,
19,Excel365,模擬試験2,4,4,グラフをスタイル7にし、グラフタイトルを「商品売上」にします,商品売上シートを選択↓円グラフを選択↓グラフのデザインタブをクリック↓スタイル7を選択↓グラフタイトルを選択し、再度クリック↓「商品売上」と入力,
20,Excel365,模擬試験2,4,5,「商品売上」シートのグラフの代替テキストを「店舗売上」にします,商品売上シートを選択↓円グラフを選択↓グラフエリアをクリック↓グラフエリアを右クリック↓代替テキストを表示をクリック↓代替テキストをクリック↓「店舗売上」と入力,
21,Excel365,模擬試験2,5,1,「試験結果」シートのB5を基準にし、テキストファイル「結果内容」をインポートします受験番号、学籍番号が1行目のヘッダーになるように設定します,「試験結果」シートのB5を選択↓データタブを選択↓テキストまたはCSVからを選択↓結果内容を選択↓インポートを選択↓データの変換を選択↓1行目をヘッダーとして使用を２回クリック↓閉じて読み込むを選択↓閉じて次に読み込むを選択↓既存のワークシートを選択↓OKを選択,
22,Excel365,模擬試験2,5,2,「試験結果」シートのテーブルのスタイルを「緑、テーブルスタイル（濃色）11」にします,「試験結果」シートのテーブルのセルを選択↓テーブルデザインタブをクリック↓棒付き下矢印をクリック↓緑、テーブルスタイル（濃色）11をクリック,
23,Excel365,模擬試験2,5,3,「試験結果」シートのテーブルの最後の列を強調します,「試験結果」シートのテーブルのセルを選択↓テーブルデザインタブを選択↓最後の列をクリック,
24,Excel365,模擬試験2,5,4,「試験結果」シートのテーブルの縞模様を解除します,「試験結果」シートのテーブルのセルを選択↓テーブルデザインタブを選択↓縞模様（行）をクリック,
25,Excel365,模擬試験2,5,5,「担当者マスター」シートのテーブルを有楽町店の担当だけ表示しますデータは削除しません,担当者マスターシートをクリック↓店舗のフィルターボタンをクリック↓すべて選択を選択↓有楽町を選択↓OKを選択,
26,Excel365,模擬試験2,5,6,「担当者マスター」シートの数式を表示します ,,数式タブをクリック↓数式の表示をクリック
27,Excel365,模擬試験2,6,1,「文化祭」シートの1日目から4日目に、条件付き書式で「3つの信号（枠なし）」を設定します,D8:G16を範囲選択↓条件付き書式を選択↓アイコンセットを選択↓３つの信号（枠なし）を選択,
28,Excel365,模擬試験2,6,2,「文化祭」シートのB5を「見出し1」のスタイルに変更します,セルB5を選択↓セルのスタイルを選択見出し1を選択,
29,Excel365,模擬試験2,6,3,「売上一覧」シートの在庫が13％以下であれば「在庫を補充」、そうでなければ空欄が補充の有無の列に表示されるようにしてください,売上一覧シートを選択↓G7を選択↓＝ifと入力↓IFを選択↓「関数の挿入」をクリック↓F7<=0.13と入力↓在庫を補充と入力↓” “を入力↓OKを選択↓G7をオートフィル,
30,Excel365,模擬試験2,6,4,「売上一覧」シートの商品型番は降順、在庫は昇順に並べ替えてください,テーブル内のセルを選択↓データタブを選択↓並べ替えを選択↓「最優先されるキー」の下矢印を選択↓商品型番を選択↓「順序」の下矢印を選択↓降順を選択↓レベルの追加を選択↓次に優先されるキー」の下矢印を選択↓在庫を選択↓順序が小さい順になっていることを確認↓OKを選択,
31,Excel365,模擬試験2,6,5,「売上一覧」シートのA4のタイトルをA4とB4の中央に配置します,A4:B4を範囲選択↓ホームタブをクリック　↓配置グループの右下矢印を選択↓横位置の下矢印を選択↓選択範囲内で中央を選択↓OKを選択,
32,Excel365,模擬試験2,6,6,「文化祭」シートの表の売上グラフに1日目から4日目を縦棒のスパークラインを使って傾向を表示します。,「文化祭」シートをクリック↓I8:I16を範囲選択↓挿入タブを選択↓縦棒を選択↓D8:G16を範囲選択↓OKを選択,
33,Excel365,模擬試験2,7,1,「販売実績」シート内の表の6月の商品の売り上げを集合縦棒グラフにします。グラフは表の右側に移動します。,A7:A13を選択↓Crtlキーを押しながらG7：G13選択↓挿入タブを選択↓縦棒グラフを選択↓２D集合縦棒を選択↓グラフを右に移動,
34,Excel365,模擬試験2,7,2,「販売実績」シート内のグラフをレイアウト4に設定し、グラフの色をモノクロ6に変更します,グラフのデザインを選択↓クイックレイアウトを選択↓レイアウト4を選択↓色の変更を選択↓モノクロ6を選択,
35,Excel365,模擬試験2,7,3,「販売実績」シート内のグラフの凡例を削除します。次にグラフに過去の月のデータを反映し表示します,グラフのデザインタブを選択↓グラフ要素を追加を選択↓凡例を選択↓なしを選択↓赤か青のフィルハンドルを選択し左にドラッグ,
36,Excel365,模擬試験2,7,4,「販売実績」シート内のグラフの数値が見えないように変更します,グラフのデザインタブを選択↓データラベルのチェックを外す,
37,Excel365,模擬試験2,7,5,アクセシビリティチェックを行い、マイナスの通貨表示を「-3288」にします。（正解の形式が複数ある場合があります。）,ファイルタブを選択↓情報を選択↓問題のチェックを選択↓アクセシビリティチェックを選択↓赤の書式を使用しないを選択↓F10（販売実績）を選択↓セルの書式設定を選択↓-1234を選択↓OKを選択,
38,Excel365,模擬試験2,7,6,プロパティのタグに「売上」と追加します。,ファイルタブを選択↓タグを選択↓売上と入力,
39,Excel365,模擬試験2,8,1,「文化祭」シートのJ8に全部活の金額を合計した数値を「各売上合計」を使い表示してください。ただし、セル参照や数値は使わず、名前付き範囲を使います,「文化祭」シートのJ8を選択↓＝sumと入力↓数式タブを選択↓数式で使用を選択↓各売上合計を選択↓Enterキーを入力,
40,Excel365,模擬試験2,8,2,「模試結果」シートの7行目を固定します,模試結果シートを選択↓８行目を選択↓表示タブを選択↓ウィンドウ枠の固定を選択↓ウィンドウ枠の固定を選択,
41,Excel365,模擬試験2,8,3,「模試結果」シートのテーブルの1行目（タイトル行）を折り返して全体を表示するようにします,B7:L7を範囲選択↓ホームタブを選択↓折り返して全体を表示するを選択,
42,Excel365,模擬試験2,8,4,「模試結果」シート内の学籍番号の最初の2文字が学科のアルファベットに表示されるようにします,G8を選択↓=leと入力↓LEFTを選択↓「関数の挿入」を選択↓D8を選択↓2を入力↓OKを選択↓G8をオートフィル,
43,Excel365,模擬試験2,8,5,RANDBETWEEN関数を使って「模試結果」シート内の受験番号に1～22の番号を入力します。グラフは表の右側に移動します。,C8を選択↓＝randと入力↓RANDBETWEENを選択↓「関数の挿入」を選択↓1を入力↓22を入力↓OKを選択↓C8をオートフィル,
44,Excel365,模擬試験2,8,6,「模試結果」シート内の表の通し番号を関数を使って1から自動で順に表示します,B8を選択↓＝seqと入力↓SEQUENCEを選択↓「関数の挿入」を選択↓行に22を入力↓列に1を入力↓開始に1を入力↓目盛りに1を入力↓OKを選択,
45,Excel365,模擬試験2,9,1,「売上一覧」シートのフッター中央にP/Nと表示させます。Pはぺージ番号、Nはぺージ数とします。,「売上一覧」シートを選択↓挿入タブを選択↓テキストを選択↓ヘッダーとフッターを選択↓フッターに移動を選択↓中央のフッターを選択↓ページ番号を選択↓/(スラッシュ)を入力↓ページ数を選択↓どこでもいいのでセルを選択↓標準を選択,
46,Excel365,模擬試験2,9,2,「売上一覧」シートの税込価格の列に税込み金額を求めてください。税込み価格は「単価×税率」で計算します。「税率」はセルを参照して求めます。,H7を選択↓F7を選択し、*（アスタリスク）を入力↓J11を選択↓F4キーを入力↓Enterキーを入力↓オートフィル,
47,Excel365,模擬試験2,9,3,「売上一覧」シートの売上一覧表を印刷範囲にします,A6:H176を選択↓ページレイアウトタブを選択↓印刷範囲を選択↓印刷範囲の設定を選択,
48,Excel365,模擬試験2,9,4,「売上一覧」シートの売上一覧表の1行目をどのページにも表示します。,印刷タイトルを選択↓タイトル行を選択↓６行目を選択↓OKを選択,
49,Excel365,模擬試験2,9,5,「出張精算」シートの距離が300㎞以上であれば「10000」、なければ「5000」と表示してください。,G8を選択↓＝ifを入力↓IFを選択↓F8＞＝300と入力↓10000と入力↓5000と入力↓OKを選択↓G8をオートフィル,
50,Excel365,模擬試験2,9,6,「販売実績」シートの売上の列に勝ち負けスパークラインを追加してください。,「販売実績」シートを選択↓G8:G14】を範囲選択↓「挿入」タブを選択↓「勝敗」を選択↓【B8:F14】を範囲選択↓「OK」を選択,
51,Excel365,模擬試験2,10,1,「売上一覧」シートのG6に「タグを表示してください。」というメモを表示します。,問題文の「タグを表示してください。」をコピー↓G6を選択↓校閲タブを選択↓メモを選択↓新しいメモを選択↓タグを表示してください。と入力,
52,Excel365,模擬試験2,10,2,「売上一覧」シートのタグ列に商品型番-商品名と表示します。例：PC002-オリジナルノートPC,【G7】を選択↓「＝con」と入力↓「CONCAT」を選択↓「関数の挿入」を選択↓【D7】を選択↓「-（ハイフン）」を選択↓【E7】を選択↓「OK」を選択↓【G7】をオートフィル,
53,Excel365,模擬試験2,10,3,「売上一覧」シートの印刷の向きを横向きにします。,「ページレイアウト」タブを選択↓「印刷の向き」を選択↓「縦」を選択,
54,Excel365,模擬試験2,10,4,「売上一覧」シートのI6のパソコンのご相談の文字に「http:pcostomer.jp」のリンクを挿入します,問題文の「http:pcostomer.jp」をコピー↓【I6】を選択↓「挿入」タブを選択↓「リンク」を選択↓「http:pcostomer.jp」を貼り付け↓「OK」を選択,
55,Excel365,模擬試験2,10,5,「売上一覧」シートの商品の種類の列に商品名を重複せずにすべて表示してください。,【H7】を選択↓「＝un」を入力↓UNIQUE」を選択↓「関数の挿入」を選択↓【E7:E176】を範囲選択↓「OK」を選択,
56,Excel365,模擬試験2,10,6,「担当リスト」シートの売上順担当者名の列に売上が高い順に並び替えて表示します。,「担当リスト」シートを選択↓【D10】を選択↓「＝so」と入力↓「SORT」を選択↓「関数の挿入」を選択↓【A10:B15】を範囲選択↓「2」と入力↓「-1」を入力↓「OK」を選択,
57,Excel365,模擬試験2,11,1,「販売実績」シート内の余白を「狭い」にします。,「ページレイアウト」タブを選択↓「余白」を選択↓「狭い」を選択,
58,Excel365,模擬試験2,11,2,「販売実績」シート内の表内の数値の書式を「通貨」に変更します。小数点は表示されないようにします。,【B8:G14】を選択↓「ホーム」タブを選択↓「数値の書式」の下矢印を選択↓「通貨」を選択,
59,Excel365,模擬試験2,11,3,「販売実績」シート内の表を1ページ、グラフを2ページに印刷されるように改ページ設定してください。,「改ページプレビュー」を選択↓「青い直線」をH列までドラッグ↓「標準」を選択,「改ページプレビュー」を選択↓「青い直線」をH列までドラッグ↓「標準」を選択
60,Excel365,模擬試験2,11,4,「販売実績」シートのセルA5をタイトルスタイルにしてください。,【A5】を選択↓「ホーム」タブを選択↓「セルのスタイル」を選択↓「タイトル」を選択,
61,Excel365,模擬試験2,11,5,「営業予定」シートの時間変更の列に11時から30分ごとに内容が終わるように変更してください。,「営業予定」シートを選択↓【D10】を選択↓「=seq」と入力↓「SEQUENCE」を選択↓「関数の挿入」を選択↓「6」と入力↓「1」と入力↓「”11:00”」と入力↓「”00:15”」と入力↓「OK」を選択,
