No,科目,種類,プロジェクト,タスク,問題文,解答操作
22,Excel365,新教材,4,3,シート［下半期売上］の表のデータをもとに、売上の合計を表す3-D円グラフを作成してください。凡例は商品名を表示し、グラフは表の右側に移動します。,シート［下半期売上］を選択↓セル範囲【A4:A10】を選択↓［Ctrl］キーを押しながらセル範囲【H4:H10】を選択↓［挿入］タブ↓［円またはドーナツグラフの挿入］をクリック↓「3-D円」をクリック↓凡例の表示を確認↓「グラフエリア」にマウスポインターを合わせ右側にドラッグ↓グラフ以外をクリックし、グラフの選択を解除
23,Excel365,新教材,4,4,シート［商品別売上］のグラフに、代替テキスト「有楽町店の売上グラフ」を追加します。,シート［商品別売上］を選択↓グラフエリアをクリック↓［書式］タブ↓［代替テキスト］をクリック↓［代替テキスト］作業用ウィンドウのボックスに「有楽町店の売上グラフ」と入力↓[代替テキスト］作業用ウィンドウの［閉じる］をクリック↓任意のセルをクリックし、グラフの選択を解除
24,Excel365,新教材,5,1,シート［売上実績］のグラフのレイアウトを「レイアウト1」、グラフタイトルを「売上構成比」に変更します。,シート［売上実績］を選択↓グラフエリアをクリック↓［グラフのデザイン］タブ↓［クイックレイアウト］をクリック↓[レイアウト１]を選択↓[グラフタイトル]をクリック↓グラフタイトル内をクリックして文字列を削除↓カーソルを確認して[売上構成比]と入力↓グラフの選択を解除
25,Excel365,新教材,5,2,シート［商品別売上］のグラフのグラフスタイルを「スタイル12」、グラフの配色を「カラフルなパレット３」に変更します。,シート［商品別売上］を選択↓グラフエリアをクリック↓［グラフのデザイン］タブ↓［グラフスタイル］グループの［クイックスタイル］ をクリック↓［スタイル12］を選択↓［色の変更］をクリック↓[カラフルなパレット３]を選択↓グラフの選択を解除
26,Excel365,新教材,5,3,シート［商品別売上］のグラフに、１月から５月のデータを追加し、グラフの数値（データラベル）が見えないように設定します。,［商品別売上］シートを選択↓グラフエリアをクリック↓表の青い枠線の左下にある ■（ハンドル）をポイント↓マウスポインターの形が黒十字の状態でB列までドラッグ↓［グラフのデザイン］タブ↓［グラフ要素を追加］ボタンをクリック↓［データラベル］をポイント↓［なし］をクリック↓グラフの選択を解除
27,Excel365,新教材,5,4,シート［商品別売上］のグラフに凡例を上に表示します,シート［商品別売上］を選択↓グラフエリアをクリック↓［グラフのデザイン］タブ↓［グラフ要素を追加］をクリック↓［凡例］をポイント↓［上］をクリック↓グラフの選択を解除
28,Excel365,新教材,5,5,シート［月別売上］のグラフにデータラベルを内部外側に表示します。,シート［月別売上］を選択↓グラフエリアをクリック↓［グラフのデザイン］タブ↓［グラフ要素を追加］をクリック↓［データラベル］をポイント↓［内部外側］をクリック↓グラフの選択を解除
29,Excel365,新教材,5,6,シート［月別売上］のグラフに第１横軸ラベルを表示して、「単位：円」と入力します。,シート［月別売上］を選択↓グラフエリアをクリック↓［グラフのデザイン］タブ↓［グラフ要素を追加］をクリック↓［軸ラベル］をポイント↓［第１横軸］をクリック↓[単位：円]と入力↓グラフの選択を解除
30,Excel365,新教材,6,1,シート［売上一覧］の1～4行目が常に表示されるように設定してください。,シート［売上一覧］を選択↓行番号【5】を選択↓［表示］タブ↓［ウィンドウ枠の固定］をクリック↓［ウィンドウ枠の固定］をクリック
31,Excel365,新教材,6,2,シート［売上一覧］の文字列「パソコン資格講座のご相談」にハイパーリンクを挿入してください。リンク先は「https://rabbitway.jp/service_mos」とします。,［売上一覧］シートを選択↓問題のURLをコピー↓セル【G3】をクリック↓［挿入］タブ↓［リンク］をクリック↓［ハイパーリンクの挿入］ダイアログボックスの［アドレス］を右クリック↓［貼り付け］をクリック↓［OK］をクリック
32,Excel365,新教材,6,3,シート［販売実績］の「1月」から「6月」までの数値の書式を「通貨」に変更してください。小数点は表示されないようにします。,シート［販売実績］を選択↓セル範囲【B5:G11】を選択↓［ホーム］タブ↓［数値の書式］をクリック↓［通貨］をクリック
33,Excel365,新教材,6,4,プロパティのタグに「売上」と追加してください。,［ファイル］タブ↓［情報］をクリック↓［タグ］をクリック↓「売上」と入力
34,Excel365,新教材,7,1,シート［イベント売上］のセル【H5】の数式をコピーして、［4日間合計］の列を完成させます。,シート［イベント売上］を選択↓セル【H5】を選択↓セル【H5】の右下の ■（フィルハンドル）をポイント↓セル【H16】までドラッグ
35,Excel365,新教材,7,2,シート［イベント売上］のセル【J3】に、関数を使って「1日目」から「4日目」の「最高売上」を算出します。,シート［イベント売上］を選択↓セル【J3】を選択↓「=max」と入力↓候補から[MAX]をダブルクリック↓［関数の挿入］をクリック↓セル範囲【D5:G16】を選択↓［OK］をクリック
36,Excel365,新教材,7,3,シート［試験結果］のセル【I4】に、関数を使って「出席者」を算出します。出席者は「合計点」の個数で求めます。,シート［試験結果］を選択↓セル【I4】を選択↓「=cou」と入力↓候補から[COUNT]をダブルクリック↓［関数の挿入］をクリック↓セル範囲【L7:L56】を選択↓［OK］をクリック
37,Excel365,新教材,7,4,シート［試験結果］のセル【J4】に、関数を使って「欠席者」を算出してください。欠席者は「合計点」が入力されていないセルの個数で求めます。,シート［試験結果］を選択↓セル【J4】を選択↓「=cou」と入力↓候補から[COUNTBLANK] をダブルクリック↓［関数の挿入］をクリック↓セル範囲【L7:L56】を選択↓［OK］をクリック
38,Excel365,新教材,7,5,シート［試験結果］の「グループ」の列に、関数を使って1から8までのランダムな番号を表示します。,シート［試験結果］を選択↓セル【B7】を選択↓「=ran」と入力↓候補から[RANDBETWEEN]をダブルクリック↓［関数の挿入］をクリック↓［最小値］に「1」と入力↓［最大値］に「8」と入力↓［OK］をクリック↓セル【B7】の数式をセル【B56】までオートフィル
39,Excel365,新教材,7,6,シート［試験結果］の「学部学科略称」の列に、関数を使って「学籍番号」の左端から2文字を表示します。,シート［試験結果］を選択↓セル【G7】を選択↓「=le」と入力↓候補から[LEFT]をダブルクリック↓［関数の挿入］をクリック↓［文字列］にカーソルを確認し、セル【C7】を選択↓［文字数］をクリックし「2」と入力↓［OK］をクリック↓セル【G7】の数式をセル【G56】までオートフィル
40,Excel365,新教材,7,7,シート［申込一覧］の「学部一覧」の列に、関数を使って「学部」を重複しないように表示します。,シート［申込一覧］を選択↓セル【I5】を選択↓「=un」と入力↓候補から[UNIQUE]をダブルクリック↓［関数の挿入］をクリック↓［配列］にカーソルを確認しセル範囲【E5:E174】を選択↓［OK］をクリック
41,Excel365,新教材,8,1,シート［学生名簿］のセル範囲【C5:C24】に、「氏名」の名前を定義します。,シート［学生名簿］を選択↓セル範囲【C5:C24】を選択↓名前ボックスをクリック↓「氏名」と入力↓[Enter］キー
42,Excel365,新教材,8,2,名前「開催日」の名前付き範囲に移動し、日付を「5/10」に変更します。,名前ボックスの下矢印をクリック↓「開催日」をクリック↓［申込一覧］シートのセル【G3】をダブルクリック↓「5/10」に修正↓［Enter］キー
43,Excel365,新教材,8,3,シート［売上報告］のセル【J5】に、関数を使用して全クラブ・サークルの売上総合計を求めます。ただし、セル参照や数値は使用せず、名前付き範囲「売上合計」を使用します。,シート［売上報告］を選択↓セル【J5】を選択↓「=sum」と入力↓候補から[SUM]をダブルクリック↓[関数の挿入]をクリック↓［数式］タブをクリック↓［数式で使用］をクリック↓「売上合計」を選択↓［OK］をクリック
44,Excel365,新教材,8,4,シート［学生名簿］の「学部学科」の列に関数を使って「学部」と「学科」の文字列を結合して表示します。,シート［学生名簿］を選択↓セル【G5】を選択↓「=con」と入力↓候補から[CONCAT]をダブルクリック↓［関数の挿入］をクリック↓セル範囲【E5:F5】を選択↓［OK］をクリック↓セル【G5】の数式をセルG24】までオートフィル
45,Excel365,新教材,8,5,シート［担当者リスト］の「メールアドレス」の列に、関数を使って「アカウント」と文字列「@rabbit.ac.jp」をつなげて表示します。,［担当者リスト］シートを選択↓セル【H5】を選択↓「=con」と入力↓候補から[CONCAT]をダブルクリック↓［関数の挿入］をクリック↓セル【G5】を選択↓[テキスト２]をクリックし、「@rabbit.ac.jp」と入力↓［OK］をクリック↓セル【H5】の数式をセル【H19】までオートフィル
46,Excel365,新教材,8,6,シート[申込一覧］の「所属」の列に、関数を使って「キャンパス-学部」と表示します。　　例：八王子-経済学部,シート［申込一覧］を選択↓セル【G5】を選択↓「=con」と入力↓候補から[CONCAT]をダブルクリック↓［関数の挿入］をクリック↓［テキスト１］にセル【B5】を選択↓［テキスト２］をクリックし、「-（ハイフン）」を入力↓［テキスト３］をクリックし、セル【E5】を選択↓［OK］をクリック↓セル【G5】の数式をセル【G174】までオートフィル
47,Excel365,新教材,9,1,シート［売上報告］の数式を表示します。,シート［売上報告］を選択↓［数式］タブ↓［数式の表示］をクリック
48,Excel365,新教材,9,2,シート［受注明細］の表を「商品ID」の昇順で並べ替え、「商品ID」が同じ場合は「金額」の降順に並べ替えします。,シート［受注明細］を選択↓表内の任意のセルを選択↓［データ］タブ↓［並べ替え］をクリック↓［最優先されるキー］の　 をクリックし、「商品ID」を選択↓［順序］が「小さい順」になっていることを確認↓［レベルの追加］をクリック↓［次に優先されるキー］の下矢印をクリックし、「金額」を選択↓［順序］の下矢印をクリックし、「大きい順」をクリック↓［OK］をクリック
49,Excel365,新教材,9,3,シート［下半期売上］の「7月」から「12月」の列に、アイコンセット「3つの矢印（色分け）」を設定します。,シート［下半期売上］を選択↓セル範囲【D5:I12】を選択↓［ホーム］タブ↓［条件付き書式］をクリック↓［アイコンセット］をポイント↓［3つの矢印（色分け）］をクリック
50,Excel365,新教材,9,4,シート［下半期売上］の「7月」から「12月」の列に、条件付き書式を使って「3000」より大きいセルに「濃い黄色の文字、黄色の背景」を設定します。,シート［下半期売上］を選択↓セル範囲【D5:I12】を選択↓［ホーム］タブ↓［条件付き書式］をクリック↓［セルの強調表示ルール］をポイント↓［指定の値より大きい］をクリック↓［次の値より大きいセルを書式設定］に「3000」と入力↓［書式］の下矢印をクリック↓「濃い黄色の文字、黄色の背景」をクリック↓［OK］をクリック
51,Excel365,新教材,9,5,シート「受注明細」のヘッダーの右に現在の日付を挿入します。,シート［受注明細］をクリック↓［挿入］タブ↓［ヘッダーとフッター］をクリック↓ヘッダーの右をクリック↓［現在の日付］をクリック↓ヘッダーまたはフッター以外の任意のセルをクリック↓［表示］タブ↓［標準］をクリック
52,Excel365,新教材,9,6,シート「受注明細」のフッターの右に「P/N」を挿入してください。「P」はページ番号、「N」は総ページ数とします。,シート［受注明細］をクリック↓［挿入］タブ↓［ヘッダーとフッター］をクリック↓［フッターに移動］をクリック↓フッターの右をクリック↓［ページ番号］をクリック↓「/」を入力↓［ページ数］をクリック↓ヘッダーまたはフッター以外の任意のセルをクリック↓［表示］タブ↓［標準］をクリック
53,Excel365,新教材,9,7,ブックにアクセシビリティチェックを実行し、おすすめアクションから、負の数に黒いマイナス記号を表示する形式を選択します。正解の形式が複数ある場合があります。,［ファイル］タブ↓［情報］をクリック↓［問題のチェック］をクリック↓［アクセシビリティチェック］をクリック↓［アクセシビリティの検査結果］のウィンドウから［赤の書式を使用しない］をクリック↓［H7(下半期売上)］をクリック↓［％セルの書式設定］をクリック↓［セルの書式設定］ダイアログボックスの表示形式から「-1234」をクリック↓［OK］をクリック
54,Excel365,新教材,10,1,シート［担当者リスト］の「昇給」の列に、関数を使って勤続年数が5より大きければ「あり」、そうでなければ「なし」と表示します。,シート［担当者リスト］を選択↓セル【G5】を選択↓「=if」と入力↓候補から[IF]をダブルクリック↓［関数の挿入］をクリック↓セル【F5】をクリック↓続けて「>5」と入力↓［値が真の場合］に「あり」と入力↓［値が偽の場合］に「なし」と入力↓［OK］をクリック↓オートフィル機能を使って、セル【G5】の数式をセル【G26】までコピー
55,Excel365,新教材,10,2,シート［出張精算］の「手当金額」の列に、関数を使って「距離」が300㎞以上であれば「10000」、そうでなければ「5000」と表示します。,シート［出張精算］を選択↓セル【G5】を選択↓「=if」と入力↓候補から[IF]をダブルクリック↓［関数の挿入］をクリック↓セル【E5】をクリック↓続けて「>=300」と入力↓［値が真の場合］に「10000」と入力↓［値が偽の場合］に「5000」と入力↓［OK］をクリック↓オートフィル機能を使って、セル【G5】の数式をセル【G9】までコピー
56,Excel365,新教材,10,3,シート［売上一覧］の「補充の有無」の列に、関数を使って「在庫」が13%以下であれば「在庫を補充」と表示し、そうでなければ何も表示しないようにします。,シート［売上一覧］を選択↓セル【G4】を選択↓「=if」と入力↓候補から[IF]をダブルクリック↓［関数の挿入］をクリック↓セル【F5】をクリック↓続けて「<=13%」と入力↓［値が真の場合］に「在庫を補充」と入力↓［値が偽の場合］に「“”（ダブルクォーテーション2つ）」を入力↓［OK］をクリック↓オートフィル機能を使って、セル【G4】の数式をセル【G99】までコピー
57,Excel365,新教材,10,4,シート「担当者リスト」の「No」の列に、関数を使って1から順に22行分入力します。,シート［担当者リスト］を選択↓セル【A5】を選択↓「=se」と入力↓候補から[SEQUENCE] をダブルクリック↓［関数の挿入］をクリック↓［行］に「22」と入力↓［列］に「1」と入力↓［開始］に「1」と入力↓［目盛り］に「1」と入力↓［OK］をクリック
58,Excel365,新教材,10,5,シート「業務予定」の「開始時間」の列の数式を変更して、10時から30分おきになるようにします。,シート［業務予定］を選択↓セル【C4】を選択↓数式バーの関数名「=SEQUENCE」をクリック↓［関数の挿入］をクリック↓［目盛り］に「0.5」と入力↓［OK］をクリック
59,Excel365,新教材,10,6,シート「売上集計」のセル【D6】を開始位置として、関数を使って表を「売上合計」の高い順に並べ替えて表示します。,シート［営業予定］を選択↓セル【D6】を選択↓「=so」と入力↓候補から[SORT]をダブルクリック↓［関数の挿入］をクリック↓［配列］にカーソルを確認し、セル範囲【A6:B14】を選択↓［並べ替えインデックス］に「2」と入力↓［並べ替え順序］に「-1」と入力↓［OK］をクリック
60,Excel365,新教材,10,7,シート「売上一覧」の「税込価格」の列に、「税込価格」を算出してください。税込価格は「単価」と「税率」の乗算で求めます。税率はセル【K4】を参照します。,シート［売上一覧］をクリック↓セル【I4】を選択↓［=］を入力↓セル【E4】を選択↓「*」を入力↓セル【K4】を選択↓［F4］キー↓「=E4*$K$4」の絶対参照の数式を確認↓［Enter］キー↓オートフィル機能を使って、セル【I4】の数式をセル【I99】までコピー
61,Excel365,新教材,10,8,シート「在庫管理」のセル「B4」を基準に、テキストファイル「在庫管理表.txt」をインポートします。Noや店舗名、担当者名などが1行目のヘッダーになるようにします。,シート［在庫管理］をクリック↓セル【B4】をクリック↓［データ］タブ↓［テキストまたはCSVから］をクリック↓「在庫管理表.txt」を選択↓［インポート］をクリック↓データの先頭がヘッダーになっていることを確認↓［読み込み］の下矢印をクリック↓［読み込み先･･･］をクリック↓［既存のワークシート］をクリック、［=$B$4］と表示されていることを確認↓［OK］をクリック
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
