科目,プロジェクトID,タスクID,問題文,類似問題,
PowerPoint,3,1,"あなたはPower Point 新機能についての発表用資料を作成しています。
スライド７にSmartArtグラフィック「タイムライン」の手順を追加し、文字列「""コンテンツ""」「""デザイン""」を入力します。不要な図形は削除します。",旧3-1,
PowerPoint,3,2,スライド７のSmartArtグラフィックに、色「グラデーション循環-アクセント６」を設定します。,旧3-2,
PowerPoint,3,3,スライド６の箇条書きを「ターゲットリスト」のSmartArtに変更します。,旧3-3,
PowerPoint,3,4,"スライド１に3Dモデル「虫眼鏡」を挿入します。幅を「""2.5""」に変更して中央の楕円の図形の中に配置します。正確な位置は問いません。",旧6-3,
PowerPoint,3,5,"スライド10の3Dモデルのビューを上前面にし、高さを「""6.5""」に変更します。",旧6-4,
PowerPoint,3,6,「機能の概要」のスライドにスライドズームを挿入して「画面録画で説明」「ズーム機能で訴求力アップ」「デザインアイデアで魅力的に！」へリンクを作成します。タイトルの下に配置し、スライドズームが重ならないようにします。,旧3-4,
PowerPoint,3,7,スライド２にセクションズームのリンクを挿入します。セクション「1.機能の概要」と「2.伝わるスライドの要素」にリンクを作成し、それぞれ文字の下に配置します。,,"スライド2を選択
↓
[挿入]タブ
↓
[ズーム]をクリック
↓
[セクションズーム]をクリッ
ク
↓
[セクション 2: 1.機能の概
要]をクリック
↓
[セクション3: 2.伝わるス
ライドの要素]をクリック
↓
[挿入]をクリック
↓
サムネイル以外の部分をクリッ
クして選択を解除
↓
前面のサムネイルを右下側に
ドラッグ
↓
背面のサムネイルを左下側に
ドラッグ
↓
サムネイル以外の部分をクリッ
クして選択を解除"
PowerPoint,4,1,"あなたは英語教育プログラムの提案用資料を作成しています。
スライド１の青い図形に、「""教育者必見""」と入力します。",旧1-7,
PowerPoint,4,2,スライド４の文字列「いつでも体験可能です!」に、文字の塗りつぶし「青、アクセント1」を設定します。,旧5-2,
PowerPoint,4,3,スライド１枚目の子供の画像に、図の効果「光彩:18pt;緑､アクセントカラー6」を設定します。,旧4-2,
PowerPoint,4,4,スライド１の子供の画像に、スタイル「楕円 ぼかし」を設定し、「テクスチャライザー」のアート効果を設定します。,旧4-1,
PowerPoint,4,5,スライド５の右の画像を左の画像の上端に合わせます。水平方向には動かさないようにします。,旧4-5,
PowerPoint,4,6,スライド５の右側の画像の右端を、スライドの右端に揃えてトリミングします。画像の右端以外は変更しないでください。トリミングした領域をプレゼンテーションから完全に削除しないでください。,旧4-4,
PowerPoint,4,7,2枚目のスライドのテキストボックスに、塗りつぶし「青、アクセント1、白+基本色60％」、枠線「濃い青」、太さ「0.75pt」を設定します。,旧11-3,
PowerPoint,4,8,スライド３のコンテンツ領域にあるテキストボックスを、スライドの垂直方向の中央に配置します。,旧11-6,
PowerPoint,5,1,"あなたはMOS合格対策講座のコースガイダンス資料を作成しています。
スライド３の丸の図形４個の右端を揃えます。",旧4-5,"スライド3を選択
↓
1 つ目の図形を選択
↓
[Shift]キーを押しながら2
つ目の図形を選択
↓
[Shift]キーを押しながら3
つ目の図形を選択
↓
[Shift]キーを押しながら4
つ目の図形を選択
↓
[図形の書式]タブ
↓
[配置]をクリック
↓
[右揃え]を選択
↓
図形以外の部分をクリックして
選択を解除"
PowerPoint,5,2,スライド５の小さい四角の大きさを他の四角と同じ幅にします。,旧5-4,
PowerPoint,5,3,スライド４の星の図形をスマイルに変更します。,旧5-3,
PowerPoint,5,4,スライド６の図形を手前から「対策講座」「PC教室」「通信講座」になるように重なりの順番を変更します。,旧4-6,
PowerPoint,5,5,スライド６の3つの論理積ゲートの図形をグループ化します。,旧5-5,
PowerPoint,5,6,スライド「MOSって何？」の男の子の画像の代替テキストを装飾化し、スクリーンリーダーに表示させないようにします。,旧4-3,
PowerPoint,5,7,スライド２の[?]のアイコンに「濃い赤」の塗りつぶしを設定します。,旧11-5,
PowerPoint,6,1,"あなたは、「伝わる」プレゼンテーションのテクニックを紹介する資料を作成しています。
プレゼンテーションからドキュメントのプロパティと個人情報を削除します。他の情報は削除しないでください。「ドキュメント検査の前にファイルを保存します。」のメッセージが表示された場合は「はい」をクリックします。",旧10-1,
PowerPoint,6,2,プレゼンテーションを常に読み取り専用にします。,旧8-5,
PowerPoint,6,3,スライドショーを自動プレゼンテーションとして設定します。,旧7-4,
PowerPoint,6,4,"スライド４，５，６を選択し、「""書式のポイント""」という名前の目的別スライドショーを作成します。スライドショーは実行しません。",旧10-2,
PowerPoint,6,5,"すべてのスライドをアウトラインで、部単位に""６""部印刷するように設定します。",旧5-1,
PowerPoint,6,6,"ノートですべてのスライドを""3""部印刷しなさい。ただし、1ページ目を全て印刷したあとに2ページ目を印刷するようにします。",旧11-7,
PowerPoint,6,7,"印刷オプションで、グレースケールの配布資料を、１ページに3スライドのレイアウトで""４""部印刷するように設定します。印刷は実行しないでください。",旧5-1,
PowerPoint,7,1,"あなたは、情報モラルの重要性について発表する資料を作成しています。
スライド１にコメント「""情報発信の責任を考える""」を挿入します。",旧6-1,
PowerPoint,7,2,"スライド１枚目の文字列「情報学習支援」に、Webページ「""https://rabbitway.jp/""」を表示するハイパーリンクを設定します。",旧9-6,
PowerPoint,7,3,スライド６の後ろに、文書「まとめ」のアウトラインを使用してスライドを挿入します。,旧7-3,
PowerPoint,7,4,"スライドのフッターに、スライド番号と「""rabbitway.jp""」をタイトルスライド以外に追加します。",旧9-4,
PowerPoint,7,5,"５枚目の「事例１」と６枚目の「事例2」のフッターに「""参考事例""」と挿入します。他のスライドには表示しません。",旧9-5,
PowerPoint,8,1,"あなたは、「見せる！」　プレゼンテーションの極意を紹介する資料作成しています。
スライド「見せる！スライドの基本ルール」の表を、スタイル「中間スタイル４-アクセント４」に変更します。表スタイルのオプションを設定して、行が１行おきに変更されないようにします。",旧9-2,
PowerPoint,8,2,スライド１の背景を「濃い緑、テキスト２、白+基本色80％」に変更します。,旧6-2,
PowerPoint,8,3,スライドのサイズを「画面に合わせる16：9」にします,旧11-1,
PowerPoint,8,4,"スライドの大きさを、高さ「""17.46""cm」、幅「""27.54""cm」に変更します。スライドは画面に合わせます。",旧9-7,
PowerPoint,8,5,スライドをグレースケールで表示し、スライド２のイラストを「明るいグレースケール」にします。,旧10-4,
PowerPoint,9,1,"あなたは、英語教育プログラムのご提案資料を作成しています。
スライド「スクールの様子」に、動画「受講の様子.mp4」を挿入します。挿入にはアイコンを使います。",旧8-1,
PowerPoint,9,2,"スライド５のビデオを、開始を「""4""秒」、終了を「""9""秒」に設定します。",旧8-3,
PowerPoint,9,3,"スライド１のオーディオを、スライドを切り替えても1回だけ再生するように設定します。再生は""3""秒かけてフェードアウトするようにします。",旧8-4,
PowerPoint,9,4,スライド２のプレースホルダーに表の内容を表す「集合縦棒」グラフを作成します。「結果」の列を項目、「人数」の列をデータ系列として使用します。表のデータはグラフシートにコピーまたは手入力でもかまいません。,旧9-1,
PowerPoint,9,5,スライド２のグラフに［凡例マーカーなし］のデータテーブルを表示し、タイトルと凡例を削除します。,旧9-3,
PowerPoint,10,1,"あなたは、日本の「四季」について紹介する資料を作成しています。
スライドマスターにテーマ「木版活字」を設定します。",旧10-5,
PowerPoint,10,2,スライドマスターにスライド番号を挿入します。,,"[表示]タブ
↓
[スライドマスター]をクリッ
ク
↓
[スライドマスター]タブが選
択され、スライドマスターの表
示に切り替わったことを確認
↓
[木版活字 スライドマスター:
スライド 1-7 で使用される]を
選択
↓
[挿入]タブ
↓
[スライド番号]をクリック
↓
[スライド番号]チェックボッ
クスをクリックしてオン
↓
[適用]をクリック
↓
[スライドマスター]タブ
↓
[マスター表示を閉じる]を
クリック"
PowerPoint,10,3,スライドマスターの［タイトルスライド］レイアウトのスライド番号を非表示にします。,,"[表示]タブ
↓
[スライドマスター]をクリッ
ク
↓
[スライドマスター]タブが選
択され、スライドマスターの表
示に切り替わったことを確認
↓
[タイトルスライドレイアウト:
スライド 1 で使用される]を選
択
↓
[挿入]タブ
↓
[スライド番号]をクリック
↓
[スライド番号]チェックボッ
クスをクリックしてオフ
↓
[適用]をクリック
↓
[スライドマスター]タブ
↓
[マスター表示を閉じる]を
クリック"
PowerPoint,10,4,スライドマスターの［２つのコンテンツ］レイアウトのスライドの背景のデザインを非表示にします。,旧10-6,
PowerPoint,10,5,スライドマスターで［フッター］のプレースホルダーを削除します。,,"[表示]タブ
↓
[スライドマスター]をクリッ
ク
↓
[スライドマスター]タブが選
択され、スライドマスターの表
示に切り替わったことを確認
↓
[木版活字 スライドマスター:
スライド 1-7 で使用される]を
選択
↓
[マスターのレイアウト]をク
リック
↓
[マスターレイアウト]ダイア
ログボックスで[フッター]チ
ェックボックスをクリックして
オフ
↓
[OK]をクリック
↓
[マスター表示を閉じる]を
クリック"
PowerPoint,10,6,"スライドマスターの［タイトルのみ］レイアウトをもとに「""タイトル付きの図と表""」の名前でレイアウトを作成します。図のプレースホルダーをスライドの左側、表のプレースホルダーを右側に配置します。",旧10-7,
PowerPoint,10,7,配布資料マスターの日付を削除します。,旧11-4,
PowerPoint,10,8,"配布資料マスターのフッターに「""四季を楽しむ""」と表示します。",旧11-4,
