グループ,プロジェクト,問題文,解答操作
2,5,「販売実績」シート内のグラフをレイアウト2に設定し、パレットを「カラフルなパレット3」に変更します。,
2,5,「販売実績」シート内のグラフの凡例を削除します。次にグラフに過去の月のデータをすべて反映し表示します。,
2,5,「販売実績」シート内のグラフの数値が見えないように変更します。,
2,6,「模試結果」シートの7行目を固定します。,
2,6,「販売実績」シート内の表内の数値の書式を「通貨」に変更します。小数点は表示されないようにします。,
2,6,「売上一覧」シートのI6のパソコンのご相談の文字に「http:pcostomer.jp」のリンクを挿入します。,
2,6,プロパティのタグに「売上」と追加します。,
2,7,「文化祭」シートの4日目の売上合計の最高金額をJ6に表示してください。,
2,7,「文化祭」シートのテーブルのH列の式を下まで完成させてください。,セルH8選択＞フィルハンドルをドラッグしオートフィル
2,7,「試験結果」シートのE9に合計点がある受験生の数を表示します。,
2,7,「試験結果」シートのF9に合計点のない受験生の数をカウントします。,
2,7,RANDBETWEEN関数を使って「模試結果」シート内の受験番号に1～22の番号を入力します。,
2,7,「模試結果」シート内の学籍番号の最初の2文字が学科のアルファベットに表示されるようにします。,
2,7,「売上一覧」シートの商品の種類の列に商品名を重複せずにすべて表示してください。,
2,8,キャンパス別試験結果シートのB6:C26に「学生」という名前を付けてください。,
2,8,「消費税」という名前付き範囲に移動し、数字を「10％」と変更します。,
2,8,「文化祭」シートのJ7に全部活の金額を合計した数値を「各売上合計」を使い表示してください。ただし、セル参照や数値は使わず、名前付き範囲を使います。,「文化祭」シートを選択＞セルJ8を選択＞「＝sum」と入力＞「SUM」を選択＞関数ボタンを選択＞数式タブを選択＞「数式で使用」ボタンを選択＞名前範囲「各売上合計」を選択＞「OK」ボタンを選択
2,8,キャンパス別試験結果シートの表内の学部学科の列に学部と学科を付け加えて、表を完成させてください。,「キャンパス別試験結果」シートを選択＞セルG7選択＞「＝con」と入力＞「CONCAT」を選択＞関数ボタンを選択＞セル範囲E7:F7を選択＞「OK」ボタンを選択＞セルG7をオートフィル
2,8,「担当者マスター」シートの表のアカウントとアドレス「@win.jp」を組み合わせてメールアドレスの列に表示してください。,
2,8,「売上一覧」シートのタグ列に商品型番-商品名と表示します。例：PC002-オリジナルノートPC,
2,9,「担当者マスター」シートのE列に勤続年数が5より大きければ「あり」、そうでなければ「なし」と表示されるようにしてください。,
2,9,「出張精算」シートの「手当金額」の列に距離が300㎞以上であれば「10000」、なければ「5000」と表示してください。,「出張精算」シートを選択＞セルG8を選択＞「＝if」と入力＞「IF」を選択＞関数ボタンを選択＞論理式（F8＞＝300）と入力＞「値が真の場合」テキストボックスをクリック＞数値「10000」と入力＞「値が偽の場合」テキストボックスをクリック＞数値「5000」と入力＞「OK」ボタンを「選択＞セルG8をオートフィル
2,9,「売上一覧」シートの在庫が13％以下であれば「在庫を補充」、そうでなければ空欄が補充の有無の列に表示されるようにしてください,
2,9,「模試結果」シート内の表の通し番号を関数を使って1から自動で順に表示します。,「模試結果」シートを選択＞セルB8を選択＞「＝seq」と入力＞「SEQUENCE」を選択>関数ボタンを選択＞「行」テキストボックスに「22」と入力＞「列」テキストボックス選択＞「1」と入力＞「開始」テキストボック選択＞「1」と入力＞「目盛り」テキストボック選択＞「1」と入力＞「OK」ボタンを選択
2,9,「営業予定」シートの時間変更の列に9時から15分ごとに内容が終わるように変更してください,"「営業予定」シートを選択＞セルD10選択＞「＝seq」と入力＞「SEQUENCE」を選択>関数ボタンを選択＞「行」テキストボックスに「6」と入力＞「列」テキストボックスを選択＞「1」と入力＞「開始」テキストボックスを選択＞「""09:00""」と入力＞「目盛り」テキストボックス選択＞「""00:15」と入力＞「OK」ボタンを選択"
2,9,「担当リスト」シートの売上順担当者名の列に売上が高い順に並び替えて表示します。,「担当リスト」シートを選択＞セルD10選択＞「＝sor」と入力＞「SORT」選択＞「関数」ボタンを選択＞「配列」テキストボックスにセル範囲A10:B15を選択＞「並べ替えインデックス」テキストボックスを選択＞「2」と入力＞順序」テキストボックスを選択＞「-1」を入力＞「OK」ボタンを選択
2,9,「売上一覧」シートの税込価格の列に税込み金額を求めてください。税込み価格は「単価×税率」で計算します。税率」はセルを参照して求めます。,「売上一覧」シートを選択＞セルJ7を選択＞「＝」と入力＞セルF7を選択＞ *」を入力＞セルL11を選択＞ F4キー」を入力＞「Enterキー」を入力＞セルF7を選択＞セルF7をオートフィル
2,10,「担当者マスター」シートの数式を表示します。,数式タブ＞数式の表示ボタン
2,10,「売上一覧」シートの商品型番は降順、在庫は昇順に並べ替えてください。,「売上一覧」シートを選択＞表内のセルをどこか1つ選択＞データタブを選択＞「並べ替え」ボタンを選択＞最優先されるキーの下矢印をクリック＞「商品型番」を選択＞順序の下矢印をクリック＞「降順」を選択＞「レベルの追加」ボタンを選択＞次に優先されるキーの下矢印をクリック＞「在庫」を選択＞「OK」ボタンを選択
2,10,「文化祭」シートの1日目から4日目に、条件付き書式で「3つの矢印（色分け）」を設定します。,「文化祭」シートを選択＞セル範囲D8:G16を選択＞ホームタブ＞「条件付き書式」ボタンを選択＞「アイコンセット」を選択＞「3つの矢印（色分け）」を選択
2,10,"「文化祭」シートの1日目から4日目に、条件付き書式で「35,000」より大きいセルに「濃い黄色の文字、黄色の背景」を設定します。",セル範囲D8:G16を選択＞ホームタブを選択＞「条件付き書式」ボタンを選択＞「セルの強調表示ルール」を選択＞「指定の値より大きい」を選択＞数値を「35000」に変更＞書式の下矢印をクリック＞「濃い黄色の文字、黄色の背景」を選択＞OKボタン
2,10,アクセシビリティチェックを行い、マイナスの通貨表示を「-6674」にします。（正解の形式が複数ある場合があります。）,ファイルタブ＞情報＞「問題のチェック」ボタン＞「アクセシビリティチェック」を選択＞エラー結果「色を排他的に使用（1）」をクリック＞「F10（販売実績）」をクリック＞おすすめアクション「セルの書式設定」を選択＞表示「-1234」を選択＞「OK」ボタンを選択＞アクセシビリティウィンドウを閉じる
2,10,「売上一覧」シートのヘッダー右側にP/Nと表示させます。Pはぺージ番号、Nはぺージ数とします,挿入タブ＞「テキスト」ボタンを選択＞「ヘッダーとフッター」ボタンを選択＞ヘッダー右をクリック＞「ページ番号」ボタンを選択＞「/」を入力＞「ページ数」ボタンを選択＞セル内をクリック＞「標準表示」ボタンを選択
2,10,「試験結果」シートのB5を基準にし、テキストファイル「結果内容」をインポートします。受験番号、学籍番号が1行目のヘッダーになるように設定します。,「試験結果」シートを選択＞セルB5を選択＞データタブを選択＞「テキストまたCSVから」ボタンを選択＞「結果内容」を選択＞「インポート」ボタンを選択＞「データの変換」ボタンを選択＞「1行目をヘッダーとして使用」ボタンを選択＞「1行目をヘッダーとして使用」ボタン＞「閉じて読み込む」ボタンの文字部分をクリック＞「閉じて次に読み込む」をクリック＞「既存のワークシート」を選択＞「OK」ボタンを選択
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
